"Stimulus","count"
"article",3
"Article",1
"blog article",1
"Blog article",1
"facebook post",1
"Facebook posts",1
"Fictional interview",2
"Images",4
"Images of different Text/color/illustrative scales",1
"In-person  stand up and improv theater",1
"In-person text survey",1
"Instagram message + 4 corrective messages",1
"Interview questions",1
"lecture + discussion + lab experiment",1
"letter from a doctor",1
"message",1
"Natural variables",8
"News article",22
"News quote",1
"news sample",1
"Newspaper",1
"Open questions",1
"Photographs",2
"Picture",1
"pictures",1
"Pictures",1
"Pre-training/post-training presentation",1
"Priming question",1
"Questionnaire",1
"Radio",1
"Science questions",1
"Scientific claims: Certain/hedged",1
"Tape recording",1
"television news",5
"Text",14
"Text messages",1
"TV",1
"twitter message",1
"Verbal instructions to recall shameful/previous day events",1
"Video",8
"Video clip",3
"Videos",1
"Vignette",3
"Visual aid + Text",1
"Visual maps",2
"webpage",2
