"Measure.of.Efficacy..Output.","count"
"",6
"??",1
"Affective reaction",2
"Affective response",1
"Attention",1
"Attitude change",5
"Behavioral change",1
"Belief change",1
"Efficacy beliefss",1
"engagement",1
"Engagement",6
"Hopefulness",1
"Influence of message",1
"Information processing",4
"Information seeking",8
"Intention to act",22
"intentions to act",1
"Interest in science",1
"Motivation",2
"observed behavior",2
"Opinion change",1
"perceived benefit",1
"Perceived certainty",2
"perceived competence",1
"Perceived credibility",10
"perceived economic benefit",1
"perceived importance",1
"Perceived likability",4
"Perceived message quality",2
"Perceived persuasiveness",2
"perceived psychological distance",1
"perceived quality",1
"Perceived risk",16
"perceived severity",4
"Perceived threat",3
"Perceived trust",2
"Perceived understanding",1
"Perception of expert disputes",1
"Perception of scientific consesus",1
"Perception of scientists",1
"persuasion",1
"Policy support",15
"Qualitative judgment",1
"Recollection",3
"Resistance to misinformation",1
"Support for environmental groups",1
"Understanding",9
"Willingness to engage",1
"Willingness to sacrifice",1
