DOI,Journal_Book,Title,Year,Authors,Experimental_Study,N,Topic,Topic_medium,Topic_Family,Stimulus,Stimulus_medium,Stimulus_Family,Framing,Output,Output_medium,Output_Family,Method,Emotion,Emotion_Coarse,Emotion_Role,Key_Findings
https://doi.org/10.1177/1075547017697980,Science Communication,Catalyzing Public Engagement With Climate Change Through Informal Science Learning Centers,2017,Geiger et al.,Yes,7285,Climate_Change,Climate,Environment,Presentation,In-person,Other,None,"Understanding,Hopefulness,Intention_to_act","Thinking,Feeling,Doing","Epistemic,Affective,Behavioral",Visitors' questionnaire,Hope,Joy,Output,(1) Training presenters increase effectiveness of communication
https://doi.org/10.1177/10755470211027235,Science Communication,Using a News Article to Convey Climate Science Consensus Information,2021,Rhode et al.,Yes,1048,Climate_Change,Climate,Environment,News_Article,Articles,Text,None,Perception_of_scientific_consensus,Judgment,Epistemic,Perception of consensus questionnaire,None,None,None,"(1) Scientific consensus statement increase perception of scientific consensus,but does not affect other Climate Change attitudes"
https://doi.org/10.1177/1075547010379579,Science Communication,Aesthetics and Astronomy: Studying the Public’s Perception and Understanding of Imagery From Space,2010,Smith et al.,Yes,8866,Space,Natural_Science,Other,Images,Pictures,Image,None,Understanding,Thinking,Epistemic,Science understanding questionnaire,None,None,None,(1) non-experts are more likely to focus on aesthetic or emotional values of images
https://doi.org/10.1177/1075547007312309,Science Communication,"After the Flood: Anger,Attribution,and the Seeking of Information",2008,Griffin et al.,Yes,401,Flooding,Disaster_Events,Environment,"TV,News_Article,Radio","Video_and_TV,Articles,Sound","Image,Text,Sound",None,"Information_seeking,Information_processing,Perceived_risk","Doing,Thinking,Judgment","Behavioral,Epistemic,Epistemic",Questionnaire,"Anger,Trust","Anger,Love",Input,"(1) Anger is associated with information seeking behaviour and processing,as well as greater risk judgment,a greater sense of personal efficacy,lower trust"
https://doi.org/10.1177/1075547010366400,Science Communication,One or Many? The Influence of Episodic and Thematic Climate Change Frames on Policy Preferences and Individual Behavior Change,2011,Hart,Yes,120,Climate_Change,Climate,Environment,News_Article,Articles,Text,"episodic,thematic","Policy_support,Intention_to_act","supporting,Doing","Attitudinal,Behavioral",Questionnaire,None,None,N/A,"(1) exposure to thematic frames associated with more support for policies than exposure to episodic frame
(2) no framing effect on disposition for individual behavior change"
https://doi.org/10.1177/1075547019870811,Science Communication,The Effects of Uncertainty Frames in Three Science Communication Topics,2019,Gustafson & Rice,Yes,2247,"Climate_Change,GMO,Machinery_hazards","Climate,Techniques,Machines_and_Tools","Environment,Technology,Technology",News_Article,Articles,Text,Deficient/technical/scientific/consensus,"Perceived_certainty,Perceived_credibility,Intention_to_act","Judgment,Judgment,Doing","Epistemic,Epistemic,Behavioral","Questionnaire,credibility scale",None,None,N/A,(1) Portraying scientific findings in uncertainty frames does not have significant effects
https://doi.org/10.1177/1075547019837623,Science Communication,"Should Scientists Talk About GMOs Nicely? Exploring the Effects of Communication Styles,Source Expertise,and Preexisting Attitude",2019,Yuan et al.,Yes,416,GMO,Techniques,Technology,Blog_Article,Online_Text,Text,"agressive/nonagressive,scientists/non-scientist","Perceived_likability,Perceived_message_quality","Liking,Liking","Attitudinal,Attitudinal",Questionnaire,None,None,N/A,(1) Writer likability and perceived expertise was significant (?)
https://doi.org/10.1177/1075547017748947,Science Communication,"Testing Links Among Uncertainty,Affect,and Attitude Toward a Health Behavior",2018,Fung et al.,Yes,334,"General_Environment,General_Health","Other_Environment,Other_Health","Environment,Health",None,Other_Other,Other,None,"Information_seeking,Information_processing,Perceived_risk,Intention_to_act","Doing,Thinking,Judgment,Doing","Behavioral,Epistemic,Epistemic,Behavioral",Questionnaire,"Worry,Anger","Fear,Anger",Input,(1) worry and anger influence uncertainty judgments and attitudes toward fish avoidance and information insufficiency
https://doi.org/10.1177/1075547019846124,Science Communication,Viruses Going Viral: Impact of Fear-Arousing Sensationalist Social Media Messages on User Engagement,2019,ali et al.,Yes,786,Virus,Disease,Health,Facebook_postss,Online_Text,Text,None,Engagement,Doing,Behavioral,"Commenting,clicking reaction button,shareing post,efficacy measure",Fear,Fear,Input,(1) fear arousal increase user engagement
https://doi.org/10.1177/1075547012441873,Science Communication,"What,Me Worry? The Role of Affect in Information Seeking and Avoidance",2012,Yang & Kahlor,Yes,736,Climate_Change,Climate,Environment,Questionnaire,Other_Text,Text,None,Information_seeking,Doing,Behavioral,risk perception questionnaire,"Worry,Anxiety,Fear,Hope,Happiness,Excitedness","Fear,Fear,Fear,Joy,Joy,Joy",Input,(1) negative affect drives information seeking
https://doi.org/10.1177/1075547020910749,Science Communication,Laughing With Science: The Influence of Audience Approval on Engagement,2020,Cacciatore et al.,Yes,217,General_Science,Natural_Science,Other,Video_clip,Video_and_TV,Image,laughter/no laughter,"Epistemic_processes,Affective_response","Thinking,Feeling","Epistemic,Affective",Questionnaire,Mirth,Joy,"Input,Output",(1) Affective response is positively linked to engagement
