"Type","Journal...Book","Title","Year","Authors","Experimental.Study.","N.","Scientific.topic","Topic.Family","Stimulus","Stimulus.Family","Type.of.framing","Measure.of.Efficacy..Output.","Output.family","Method","Emotion","Emotion.role","Key.findings","X","X.1","X.2","X.3","X.4","X.5","Method.of.Exploration","Jounral.checked"
NA,"Science Communication","Catalyzing Public Engagement With Climate Change Through Informal Science Learning Centers","2017","Geiger et al.","Yes","7285","Climate Change","Environment","pre-training/post-training presentation","Other","N/A","Understanding,Hopefulness,Intention to act","Epistemic,Affective,Behavioral","Visitors' questionnaire","Hope","Output","(1) Training presenters increase effectiveness of communication",NA,NA,NA,NA,NA,NA,"(1) Go to science communication journals,search for emotion
(2) go to emotion journals,search for science communication","Science Commnunication"
NA,"Science Communication","Using a News Article to Convey Climate Science Consensus Information","2021","Rhode et al.","Yes","1048","Climate Change","Environment","news article","Text","N/A","Perception of scientific consesus","Epistemic","Perception of consensus questionnaire","None","N/A","(1) Scientific consensus statement increase perception of scientific consensus,but does not affect other Climate Change attitudes",NA,NA,NA,NA,NA,NA,"","public understanding of science
media and communication"
NA,"Science Communication","Using a News Article to Convey Climate Science Consensus Information","2021","Rhode et al.","Yes","1048","Climate Change","Environment"," news article & consensus message","Text","N/A","Perception of scientific consesus","Epistemic","Perception of consensus questionnaire","None","N/A","(1) Scientific consensus statement increase perception of scientific consensus,but does not affect other Climate Change attitudes",NA,NA,NA,NA,NA,NA,"","public understanding of science
media and communication"
NA,"Science Communication","Using a News Article to Convey Climate Science Consensus Information","2021","Rhode et al.","Yes","1048","Climate Change","Environment"," control","Text","N/A","Perception of scientific consesus","Epistemic","Perception of consensus questionnaire","None","N/A","(1) Scientific consensus statement increase perception of scientific consensus,but does not affect other Climate Change attitudes",NA,NA,NA,NA,NA,NA,"","public understanding of science
media and communication"
NA,"Science Communication","Aesthetics and Astronomy: Studying the Public’s Perception and Understanding of Imagery From Space","2010","Smith et al.","Yes","8866","Space","Other","images","Image","N/A","Understanding","Epistemic","Science understanding questionnaire","None","N/A","(1) non-experts are more likely to focus on aesthetic or emotional values of images",NA,NA,NA,NA,NA,NA,"keywords to consider",""
NA,"Science Communication","After the Flood: Anger,Attribution,and the Seeking of Information","2008","Griffin et al.","Yes","401","Flooding","Environment","TV","Text,Image,Sound","N/A","Information seeking,Information processing,Perceived risk","Epistemic,Behavioral","Questionnaire","Anger,Trust","Input","(1) Anger is associated with information seeking behaviour and processing,as well as greater risk judgment,a greater sense of personal efficacy,lower trust",NA,NA,NA,NA,NA,NA,"Science communication
emotion
persuation",""
NA,"Science Communication","After the Flood: Anger,Attribution,and the Seeking of Information","2008","Griffin et al.","Yes","401","Flooding","Environment"," Newspaper","Text,Image,Sound","N/A","Information seeking,Information processing,Perceived risk","Epistemic,Behavioral","Questionnaire","Anger,Trust","Input","(1) Anger is associated with information seeking behaviour and processing,as well as greater risk judgment,a greater sense of personal efficacy,lower trust",NA,NA,NA,NA,NA,NA,"Science communication
emotion
persuation",""
NA,"Science Communication","After the Flood: Anger,Attribution,and the Seeking of Information","2008","Griffin et al.","Yes","401","Flooding","Environment"," Radio","Text,Image,Sound","N/A","Information seeking,Information processing,Perceived risk","Epistemic,Behavioral","Questionnaire","Anger,Trust","Input","(1) Anger is associated with information seeking behaviour and processing,as well as greater risk judgment,a greater sense of personal efficacy,lower trust",NA,NA,NA,NA,NA,NA,"Science communication
emotion
persuation",""
NA,"Science Communication","One or Many? The Influence of Episodic and Thematic Climate Change Frames on Policy Preferences and Individual Behavior Change","2011","Hart","Yes","120","Climate Change","Environment","news article","Text","episodic,thematic","Policy support,Intention to act","Behavioral","Questionnaire","None","","(1) exposure to thematic frames associated with more support for policies than exposure to episodic frame
(2) no framing effect on disposition for individual behavior change",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","The Effects of Uncertainty Frames in Three Science Communication Topics","2019","Gustafson & Rice","Yes","2247","Climate Change,GMO,Machinery hazards","Environment,Technology,Health","news article","Text","Deficient/technical/scientific/consensus","Perceived certainty,Perceived credibility,Intention to act","Behavioral,Epistemic","Questionnaire,credibility scale","None","","(1) Portraying scientific findings in uncertainty frames does not have significant effects",NA,NA,NA,NA,NA,NA,"","web of science
scopus"
NA,"Science Communication","Should Scientists Talk About GMOs Nicely? Exploring the Effects of Communication Styles,Source Expertise,and Preexisting Attitude","2019","Yuan et al.","Yes","416","GMO","Technology,Health","blog article","Online text","agressive/nonagressive, scientists/non-scientist","Perceived likability,Perceived message quality","Behavioral,Attitudinal","Questionnaire","None","","(1) Writer likability and perceived expertise was significant (?)",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Testing Links Among Uncertainty,Affect,and Attitude Toward a Health Behavior","2018","Fung et al.","Yes","334","Environment,Health","Environment,Health","N/A","Other","N/A","Information seeking,Information processing,Perceived risk,Intention to act","Epistemic,Behavioral","Questionnaire","Worry,Anger","Input","(1) worry and anger influence uncertainty judgments and attitudes toward fish avoidance and information insufficiency",NA,NA,NA,NA,NA,NA,"","https://explore.openalex.org/concepts/C472806"
NA,"Science Communication","Viruses Going Viral: Impact of Fear-Arousing Sensationalist Social Media Messages on User Engagement","2019","ali et al.","Yes","786","Virus","Health","facebook posts","Online text","N/A","Engagement","Behavioral","Commenting,clicking reaction button,shareing post,efficacy measure","Fear","Input","(1) fear arousal increase user engagement",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","What,Me Worry? The Role of Affect in Information Seeking and Avoidance","2012","Yang & Kahlor","Yes","736","Climate Change","Environment","questionnaire","Text","N/A","Information seeking","Behavioral","risk perception questionnaire","Worry,Anxiety,Fear,Hope,Happiness,Excitedness","Input","(1) negative affect drives information seeking",NA,NA,NA,NA,NA,NA,"",""
NA,"Science Communication","Laughing With Science: The Influence of Audience Approval on Engagement","2020","Cacciatore et al.","Yes","217","Generel Science","Other","video clip","Video","laughter/no laughter","Engagement,Affective response","Behavioral,Affective","Questionnaire","Mirth","Input,Output","(1) Affective response is positively linked to engagement",NA,NA,NA,NA,NA,NA,"",""
