"labels","values","parents","ids"
" Health",1,NA," Health"
" Technology",1,NA," Technology"
"Environment",48,NA,"Environment"
"Health",24,NA,"Health"
"Other",29,NA,"Other"
"Technology",10,NA,"Technology"
"Antibiotics",0," Health"," Health - Antibiotics"
"Antibiotics",0," Technology"," Technology - Antibiotics"
"Antibiotics",0,"Environment","Environment - Antibiotics"
"Antibiotics",1,"Health","Health - Antibiotics"
"Antibiotics",0,"Other","Other - Antibiotics"
"Antibiotics",0,"Technology","Technology - Antibiotics"
"Automated vehicles",0," Health"," Health - Automated vehicles"
"Automated vehicles",0," Technology"," Technology - Automated vehicles"
"Automated vehicles",0,"Environment","Environment - Automated vehicles"
"Automated vehicles",0,"Health","Health - Automated vehicles"
"Automated vehicles",0,"Other","Other - Automated vehicles"
"Automated vehicles",1,"Technology","Technology - Automated vehicles"
"Cigarettes",0," Health"," Health - Cigarettes"
"Cigarettes",0," Technology"," Technology - Cigarettes"
"Cigarettes",0,"Environment","Environment - Cigarettes"
"Cigarettes",1,"Health","Health - Cigarettes"
"Cigarettes",0,"Other","Other - Cigarettes"
"Cigarettes",0,"Technology","Technology - Cigarettes"
"Climate Change",0," Health"," Health - Climate Change"
"Climate Change",0," Technology"," Technology - Climate Change"
"Climate Change",40,"Environment","Environment - Climate Change"
"Climate Change",0,"Health","Health - Climate Change"
"Climate Change",3,"Other","Other - Climate Change"
"Climate Change",0,"Technology","Technology - Climate Change"
"Covid",0," Health"," Health - Covid"
"Covid",0," Technology"," Technology - Covid"
"Covid",0,"Environment","Environment - Covid"
"Covid",3,"Health","Health - Covid"
"Covid",0,"Other","Other - Covid"
"Covid",0,"Technology","Technology - Covid"
"COVID",0," Health"," Health - COVID"
"COVID",0," Technology"," Technology - COVID"
"COVID",0,"Environment","Environment - COVID"
"COVID",1,"Health","Health - COVID"
"COVID",1,"Other","Other - COVID"
"COVID",0,"Technology","Technology - COVID"
"Ebola",0," Health"," Health - Ebola"
"Ebola",0," Technology"," Technology - Ebola"
"Ebola",0,"Environment","Environment - Ebola"
"Ebola",1,"Health","Health - Ebola"
"Ebola",0,"Other","Other - Ebola"
"Ebola",0,"Technology","Technology - Ebola"
"Economics",0," Health"," Health - Economics"
