Type,Journal / Book,Title,Year,Authors,Experimental Study?,N?,Scientific topic,Method,Stimulus,Type of framing,Measure of Efficacy,Emotion,Measure type,Key findings,,,,,,,,,,Method of Exploration,Jounral checked
,,Catalyzing Public Engagement With Climate Change Through Informal Science Learning Centers,2017,Geiger et al.,Yes,7285,Climate Change,Visitors' questionnaire,pre-training/post-training presentation,N/A,"Understanding, hopefulness, intention to engage in action",hope,"Epistemic, emotional, behavioral",(1) Training presenters increase effectiveness of communication,,,,,,,,,,"(1) Go to science communication journals, search for emotion
(2) go to emotion journals, search for science communication",Science Commnunication
,,Using a News Article to Convey Climate Science Consensus Information,2021,Rhode et al.,Yes,1048,Climate Change,Perception of consensus questionnaire,news article/news article + scientific consensus message/control condition,N/A,Perception of scientific consesus,N/A,beahvioral,"(1) Scientific consensus statement increase perception of scientific consensus, but does not affect other climate change attitudes",,,,,,,,,,,"public understanding of science
media and communication"
,,Aesthetics and Astronomy: Studying the Public’s Perception and Understanding of Imagery From Space,2010,Smith et al.,Yes,8866,Space,Science understanding questionnaire,Images of different text/color/illustrative scales,N/A,Understanding,N/A,epistemic,(1) non-experts are more likely to focus on aesthetic or emotional values of images,,,,,,,,,,keywords to consider,
,,"After the Flood: Anger, Attribution, and the Seeking of Information",2008,Griffin et al.,Yes,401,Flooding,"Questionnaire, self-report",interview: flood risks from river/ecological risks to river/both,N/A,"Attention, information seeking, processing","anger,","epistemic, behavioral","(1) Anger is associated with information seeking behaviour and processing, as well as greater risk judgment, a greater sense of personal efficacy, lower trust",,,,,,,,,,"Science communication
emotion
persuation",
,,One or Many? The Influence of Episodic and Thematic Climate Change Frames on Policy Preferences and Individual Behavior Change,2011,Hart,Yes,120,Climate Change,Questionnaire,fabricated news story: Episodic/thematic,"episodic, thematic","policy preference, behavioral change",N/A,behavioral,"(1) exposure to thematic frames associated with more support for policies than exposure to episodic frame
(2) no framing effect on disposition for individual behavior change",,,,,,,,,,,
,,The Effects of Uncertainty Frames in Three Science Communication Topics,2019,Gustafson & Rice,Yes,2247,"Climate Change, GMO, Machinery hazards","Questionnaire (self-report), credibility scale, self-report",fabricated news article,Deficient/technical/scientific/consensus,"Belief, credibility, behavioral intention",N/A,behavvioral,(1) Portraying scientific findings in uncertainty frames does not have significant effects,,,,,,,,,,,"web of science
scopus"
,,"Should Scientists Talk About GMOs Nicely? Exploring the Effects of Communication Styles, Source Expertise, and Preexisting Attitude",2019,Yuan et al.,Yes,416,GMO,Questionnaire,"blog articles: Aggressive/polite, scientist/nonscientist",agressive/nonagressive,Perception of message,N/A,behavioral,(1) Writer likability and perceived expertise was significant (?),,,,,,,,,,,
,,"Testing Links Among Uncertainty, Affect, and Attitude Toward a Health Behavior",2018,Fung et al.,Yes,334,"Environment, Health","Questionnaire, self-report, risk attribution questionnaire",Stimulus,N/A,"preventive behaviour, information seeking","worry, anger",behavioral,(1) worry and anger influence uncertainty judgments and attitudes toward fish avoidance and information insufficiency,,,,,,,,,,,https://explore.openalex.org/concepts/C472806
,,Viruses Going Viral: Impact of Fear-Arousing Sensationalist Social Media Messages on User Engagement,2019,ali et al.,Yes,786,Virus,"Commenting, clicking reaction button, shareing post, efficacy measure",facebook posts,N/A,user engagement,fear,behavioral,(1) fear arousal increase user engagement,,,,,,,,,,,
,,"What, Me Worry? The Role of Affect in Information Seeking and Avoidance",2012,Yang & Kahlor,Yes,736,climate change,"risk perception questionnaire, self-report",Questionnaire questions,N/A,Informatioon seeking,"worry, anxiety",behavioral,(1) negative affect drives information seeking,,,,,,,,,,,
,,Laughing With Science: The Influence of Audience Approval on Engagement,2020,Cacciatore et al.,Yes,217,general science,Questionnaire,"video clip, stand up: with laughter/without laughter",N/A,Public engagement,N/A,behavioral,(1) Affective response is positively linked to engagement,,,,,,,,,,,
,,From White Lab Coats and Crazy Hair to Actual Scientists: Exploring the Impact of Researcher Interaction and Performing Arts on Students’ Perceptions and Motivation for Science,2018,Mallén et al.,Yes,135,N/A,"free-listing, pre- and post-survey","in-person  stand up, short performances, improv theater",Type of framing,"less stereotypical perception, interest in science career",N/A,behavioral,"(1) Drama based technieques increase interest in scientific careers
(2) interaction with scientists reduce stereotyped perception",,,,,,,,,,,
,,"Countering the “Harmless E-Cigarette” Myth: The Interplay of Message Format, Message Sidedness, and Prior Experience With E-Cigarette Use in Misinformation Correction",2020,Wang & Huang,Yes,294,Cigarettes,"questionnaire prohibiting e-cig use, questionnaire policy support",instagram message + 4 corrective messages,N/A,Accuracy,N/A,epistemic,(1) stories more emotionally involving than nonstories but does not reduce counterarguing when used as correctives,,,,,,,,,,,
,,Promoting Concern for Climate Change: A Study of Wildfire Photographs Using Q Methodology,2021,Duan et al.,Yes,,Climate Change,Q methodology,Twitter photographs,,,,,,,,,,,,,,,,
,,How Effective Are Concrete and Abstract Climate Change Images? The Moderating Role of Construal Level in Climate Change Visual Communication,2021,duen et al.,Yes,448,Climate Change,Questionnaire,Images of different text/color/illustrative scales,abstract/concrete,behavioral intention,N/A,behavioral,(1) concrete images does not lead to  increased level of concern,,,,,,,,,,,
,,Tacit Understandings of Health Literacy: Interview and Survey Research With Health Journalists,2009,Hinnant et al.,Yes,396,Health,"Interview, Questionnaire",Interview questions,N/A,n/a,N/A,,n/a,,,,,,,,,,,
,,To Eat or Not to Eat: Framing of GMOs in American Media and Its Effects on Attitudes and Behaviors,2020,Pjesivac et al.,Yes,"165, 182",GMO,"Questionnaire, observed behavior in apple-choice","Newspaper sample, ",risk/opportunity,behavioral intentions,"fear, danger",behavioral,"(1) Framng affect attitudes and can change them. 
(2) affect behavioral intentions but not actual behavior",,,,,,,,,,,
,,The Effects of the “War on Science” Frame on Scientists’ Credibility,2019,Hardy et al.,Yes,1024,N/A,Questionnaire,Fictional scientific blod posts,war on science/challenge for science/neglect of science,"perceived scientist credibility, perceived aggressiveness of stimuli",N/A,behavioral,(1) War on science frame makes conservatives report lower agreement with scientist credibility index,,,,,,,,,,,
,,Debunking Misinformation About Genetically Modified Food Safety on Social Media: Can Heuristic Cues Mitigate Biased Assimilation?,2021,Wang & Huang,Yes,330,GM foods,Questionnaire,simulated facebook post,N/A,"belief accuracy, perceived message credibility",N/A,"epistemic, behavioral",(1) Corrective information can counteract influence of misinformation,,,,,,,,,,,
,,Mother Nature’s Fury: Antagonist Metaphors for Natural Disasters Increase Forecasts of Their Severity and Encourage Evacuation,2021,Hauser et al.,Yes,1936,Natural disasters,Questionnaire,Vignette,antagonist/literal,risk perception,N/A,behavioral,"(1) antagonist framed increase perception of severity
(2) Metaphors are effective for risk communication",,,,,,,,,,,
,,“Social Change” and “Status Quo” Framing Effects on Risk Perception: An Exploratory Experiment,2006,Durfee,Yes,111,Environment,risk perception questionnaire,simulated news story,Social change/status quo,risk awareness,N/A,behavioral,(1) social change framing increase rissk awareness,,,,,,,,,,,
,,Information Insufficiency and Information Seeking: An Experiment,2016,Hwang & Jeong,Yes,307,Health,information-seeking questionnaire,"vignette, background information, suggested strategies ",low/high distance,information seeking,N/A,behavioral,(1) high suffiency threshold result in greater information seeking intention,,,,,,,,,,,
,,The Impact of Message Source on the Effectiveness of Communications About Climate Change,2019,Bolsen et al.,Yes,1850,Climate Change,threat perception questionnaire,Article,threat to environment/USA,Perceived threat,Trust,behavioral,(1) Messages attributed to military leaders or republican party leaders can enhance impact of appeal.,,,,,,,,,,,
,,Early Exposures to Ecogenomics: Effects of Priming and Web Site Interactivity Among Adolescents,2010,Bos et al.,Yes,273,Emergen technologies,"Attitude questionnaire, observed time invested in information-processing, cognitive load questionnaire",Web site pages,N/A,"information processing, attitude development",N/A,behavioral,(1) Priming does not affect attitude development.,,,,,,,,,,,
,,Increasing Information Seeking About Antibiotic Risks: Testing a Clinical Intervention Message Using the Risk Information Seeking and Processing Model,2020,Brinker et al.,Yes,400,Antibiotics,"risk questionnaire, information seeking questionnaire",informative messages,n/a,"information seeking, risk perception",N/A,behavioral,(1) risk information messages increase perception of information insufficiency and information seeking,,,,,,,,,,,
,,Predicting Intentions to Engage With Scientific Messages on Twitter: The Roles of Mirth and Need for Humor,2020,Yeo et al.,Yes,?,genmeral science,Engagement questionnaire,fictional twitter messages,N/A,engagement intentions,"mirth, humor",behavioral,(1) humor mediates engagement intentions,,,,,,,,,,,
,,“Knowledge Is Power”: A Mixed-Methods Study Exploring Adult Audience Preferences for Engagement and Learning Formats Over 3 Years of a Health Science Festival,2015,Rogers et al.,Yes,661,Health,Open question self-report,lectures/discussions/expo information/lab experiments,N/A,engagement,N/A,behavioral,(1) lectures work better than dialogue formats,,,,,,,,,,,
,,"The Power of Being Transported: Efficacy Beliefs, Risk Perceptions, and Political Affiliation in the Context of Climate Change",2020,Bieniek-Tabasco et al.,Yes,"624, 1391",Climate Change,"Risk perception questionnaire, efficacy belief questionnaire",Video clip,transport high/low,"risk perception, efficacy beliefs",N/A,behavioral,"(1) transportation affects efficacy beliefs and risk perception
(1) Political belief affects efficacy beliefs and rsk perceptions",,,,,,,,,,,
,,“Listening” to Science: Science Podcasters’ View and Practice in Strategic Science Communication,2021,Yuan et al.,Yes,147,,,,,,,,(1) podcasters vie excitement and interest in science as most prioritized objective,,,,,,,,,,,
,,"Learning From Science News via Interactive and Animated Data Visualizations: An Investigation Combining Eye Tracking, Online Survey, and Cued Retrospective Reporting",2020,Greussing et al.,Yes,45,N/A,"eye tracking, information recall, involvement questionnaire",news article: static visualisation/interactive visualisation/interactive + animated visualsation,N/A,"attention, recollection",N/A,epistemic,(1) interactivity and animation engage audience more strongly -- translates into highr learning,,,,,,,,,,,
,,Science Information in Fictional Movies: Effects of Context and Gender,2010,Barriga et al.,Yes,96,N/A,"Questionnaire: Movie science, general science, confidence",videro clips: transport/no transport,Transport: High/none,resistence to misinformation,N/A,behavioral,(1) incorrect science is accepted as true from movies depend on gender of participant and the centrality of information in relation to the plot,,,,,,,,,,,
,,Putting Environmental Infographics Center Stage: The Role of Visuals at the Elaboration Likelihood Model’s Critical Point of Persuasion,2015,Lazard & Atkinson,Yes,168,Environment,questionnaire: elaboration,Website: Text-only/inforgraph,N/A,"agreement to elaboration statements (""I had many thoughts in response"")",N/A,behavioral,(1) visual content is important for persuasiveness of message,,,,,,,,,,,
,,Hedged Language and Partisan Media Influence Belief in Science Claims,2020,Butterfuss et al.,Yes,335,general science,Questionnaire: belief/trust,Scientific claims: Certain/hedged,correct/misinformation,"belief, trust",N/A,behavioral,"(1) hedged language influence belief in information for individuals with certain epistemic profiles
(1) higher faith in instititutoin leads to lower belief in claims from scientific sources",,,,,,,,,,,
,,Third-Person Perception of Science Narratives: The Case of Climate Change Denial,2018,Dahlstrom,Yes,428,Climate Change,"questionnaire: climate change opinion, message-consistent influence, perceived negative influence",news article: narrative/non-narrative,N/A,response to mesage-consistent influence questionnaire,N/A,behavioral,"(1) Individuals are aware of influence of narratives and can resist the influence when they perceive the message to have negative influence
(2) otherwise they underestimate influence of narratives",,,,,,,,,,,
,,Can a Personality Trait Predict Talk About Science?: Sensation Seeking as a Science Communication Targeting Variable,2007,Hwang & Southwell,Yes,667,Scientific topic,"sensation seeking scale, science conversation questionnaire",N/A,N/A,Science talk,NN/A,behavioral,(1) Sensation seeking predicts talk about science,,,,,,,,,,,
,,Can We Stop the Spread of False Information on Vaccination? How Online Comments on Vaccination News Affect Readers’ Credibility Assessments and Sharing Behaviors,2021,Petit et al.,Yes,,,,,,,,,(1) Negative user comments reduce perceived credibility,,,,,,,,,,,
,,Science Exemplars in the Eye of the Beholder: How Exposure to Online Science Information Affects Attitudes,2015,Knobloch-Westerwcik et al.,Yes,276,N/A,"observed exposure, attitude questionnaire",articles: exemplar/numeric,exemplar/numeric,"attitude shift, message exposure",N/A,behavioral,(1) Exemplar reading fosterede longer reading amongst high empathy individuals but less exposure among high-nmumeracy individuals,,,,,,,,,,,
,,The Impact of Climate Change–Related Imagery and Text on Public Opinion and Behavior Change,2016,Hart & Feldman,Yes,1575,Climate Change,"efficacy questionnaire, behavioral intentions questionnaire, issue importance questionnaire","news stories (press): image/no image, text: impact of CC/actions against it/both",Type of framing,"perceived importance, behavioral intention",N/A,behavioral,"(1) Perceived efficacy and issue importance correlate with  change in behavior
(2) exposure to images does not negatively affect perceived efficacy or perceived importance",,,,,,,,,,,
,,"How Involvement, Citation Style, and Funding Source Affect the Credibility of University Scientists",2002,Sprecker,Yes,77,N/A,credibility questionnaire,"newspaper articles: funding public/private, quote/paraphrase",N/A,Perceived credibility,N/A,behavioral,(1) funding source or citation style does not affect perceived credibility,,,,,,,,,,,
,,Environmental Science in the Media: Effects of Opposing Viewpoints on Risk and Uncertainty Perceptions,2015,Kortenkmap et al.,Yes,247,environment,risk questionnaire,newspaper article,N/A,perceived risk,N/A,behavioral,(1) reading discredited opposiing viewpoint influence risk and uncertainty perception similarly as reading balanced opposiing viewpooints,,,,,,,,,,,
,,Emotion and judgments of scientific research,2020,Drummond & Fishhoff,Yes,705,Health,"scientific understanding questionnaire, judgment questionnaire, trust questionnaire, reasoning ability test",news article,N/A,"perceived trust, negative/positive judgment","fear, anger, disgust, happiness, sadness, surprise",behavioral,(1) disgust increse negative judgment of research and scientists.,,,,,,,,,,,
,,Audience responses to television news coverage of medical advances: The mediating role of audience emotions and identification,2014,Hong,Yes,99,health,"emotional reaction questionnaire, perception of research questionnaire, involvement questionnaire self report","video, news story",human exemplar: yes/no,perception of research,"hope, fear, anger, relief",behavioral,(1) news stories with human example intensify positive emotions,,,,,,,,,,,
,,Disgusting microbes: The effect of disgust on perceptions of risks related to modifying microbiomes,2019,Yeo et al.,Yes,1005,Microbes,"disgust questionnaire, perceived benefit questionnaire",news article: disgust/no disgust,"digust/no disgust, human/no human",Perceived risk,disgust,behavioral,(1) disgust increase risk perception,,,,,,,,,,,
,,"Does a picture tell a thousand words? The uses of digitally produced, multimodal pictures for communicating information about Alzheimer’s disease",2015,Dobos et al.,Yes,206,Health,meanings questionnaire,pictures,N/A,understanding of message,anger,epistemic,"(1) pictures are useful for evoking emotions, rather than convey spicific messages",,,,,,,,,,,
