"labels","values","parents","ids"
"Aggression",1,NA,"Aggression"
"Anger",13,NA,"Anger"
"Anxiety",5,NA,"Anxiety"
"Compassion",2,NA,"Compassion"
"Contentment",2,NA,"Contentment"
"Depression",1,NA,"Depression"
"Disgust",4,NA,"Disgust"
"Distress",1,NA,"Distress"
"Enthusiasm",2,NA,"Enthusiasm"
"Excitedness",1,NA,"Excitedness"
"Fear",21,NA,"Fear"
"Guilt",6,NA,"Guilt"
"Happiness",2,NA,"Happiness"
"Hope",11,NA,"Hope"
"Mirth",5,NA,"Mirth"
"Pride",1,NA,"Pride"
"Relief",1,NA,"Relief"
"Resentment",1,NA,"Resentment"
"Sadness",6,NA,"Sadness"
"Shame",3,NA,"Shame"
"Surprise",1,NA,"Surprise"
"Trust",3,NA,"Trust"
"Uncertainty",1,NA,"Uncertainty"
"unspecified",1,NA,"unspecified"
"Unspecified",2,NA,"Unspecified"
"Worry",5,NA,"Worry"
"Input",1,"Aggression","Aggression - Input"
"Input",12,"Anger","Anger - Input"
"Input",5,"Anxiety","Anxiety - Input"
"Input",2,"Compassion","Compassion - Input"
"Input",2,"Contentment","Contentment - Input"
"Input",1,"Depression","Depression - Input"
"Input",4,"Disgust","Disgust - Input"
"Input",1,"Distress","Distress - Input"
"Input",2,"Enthusiasm","Enthusiasm - Input"
"Input",1,"Excitedness","Excitedness - Input"
"Input",21,"Fear","Fear - Input"
"Input",6,"Guilt","Guilt - Input"
"Input",2,"Happiness","Happiness - Input"
"Input",9,"Hope","Hope - Input"
"Input",4,"Mirth","Mirth - Input"
"Input",1,"Pride","Pride - Input"
"Input",1,"Relief","Relief - Input"
"Input",1,"Resentment","Resentment - Input"
"Input",6,"Sadness","Sadness - Input"
"Input",3,"Shame","Shame - Input"
"Input",1,"Surprise","Surprise - Input"
"Input",3,"Trust","Trust - Input"
"Input",1,"Uncertainty","Uncertainty - Input"
"Input",0,"unspecified","unspecified - Input"
"Input",2,"Unspecified","Unspecified - Input"
"Input",5,"Worry","Worry - Input"
"Output",0,"Aggression","Aggression - Output"
"Output",1,"Anger","Anger - Output"
"Output",0,"Anxiety","Anxiety - Output"
"Output",0,"Compassion","Compassion - Output"
"Output",0,"Contentment","Contentment - Output"
"Output",0,"Depression","Depression - Output"
"Output",0,"Disgust","Disgust - Output"
"Output",0,"Distress","Distress - Output"
"Output",0,"Enthusiasm","Enthusiasm - Output"
"Output",0,"Excitedness","Excitedness - Output"
"Output",0,"Fear","Fear - Output"
"Output",0,"Guilt","Guilt - Output"
"Output",0,"Happiness","Happiness - Output"
"Output",2,"Hope","Hope - Output"
"Output",1,"Mirth","Mirth - Output"
"Output",0,"Pride","Pride - Output"
"Output",0,"Relief","Relief - Output"
"Output",0,"Resentment","Resentment - Output"
"Output",0,"Sadness","Sadness - Output"
"Output",0,"Shame","Shame - Output"
"Output",0,"Surprise","Surprise - Output"
"Output",0,"Trust","Trust - Output"
"Output",0,"Uncertainty","Uncertainty - Output"
"Output",1,"unspecified","unspecified - Output"
"Output",0,"Unspecified","Unspecified - Output"
"Output",0,"Worry","Worry - Output"
