"labels","values","parents","ids"
"Environment",52,"Scientific Family","Environment"
"Health",35,"Scientific Family","Health"
"Other",18,"Scientific Family","Other"
"Technology",3,"Scientific Family","Technology"
"Aggression",0,"Environment","Environment - Aggression"
"Aggression",1,"Health","Health - Aggression"
"Aggression",0,"Other","Other - Aggression"
"Aggression",0,"Technology","Technology - Aggression"
"Anger",6,"Environment","Environment - Anger"
"Anger",6,"Health","Health - Anger"
"Anger",2,"Other","Other - Anger"
"Anger",0,"Technology","Technology - Anger"
"Anxiety",2,"Environment","Environment - Anxiety"
"Anxiety",3,"Health","Health - Anxiety"
"Anxiety",0,"Other","Other - Anxiety"
"Anxiety",0,"Technology","Technology - Anxiety"
"Compassion",2,"Environment","Environment - Compassion"
"Compassion",0,"Health","Health - Compassion"
"Compassion",0,"Other","Other - Compassion"
"Compassion",0,"Technology","Technology - Compassion"
"Contentment",0,"Environment","Environment - Contentment"
"Contentment",0,"Health","Health - Contentment"
"Contentment",2,"Other","Other - Contentment"
"Contentment",0,"Technology","Technology - Contentment"
"Depression",1,"Environment","Environment - Depression"
"Depression",0,"Health","Health - Depression"
"Depression",0,"Other","Other - Depression"
"Depression",0,"Technology","Technology - Depression"
"Disgust",1,"Environment","Environment - Disgust"
"Disgust",3,"Health","Health - Disgust"
"Disgust",0,"Other","Other - Disgust"
"Disgust",0,"Technology","Technology - Disgust"
"Distress",1,"Environment","Environment - Distress"
"Distress",0,"Health","Health - Distress"
"Distress",0,"Other","Other - Distress"
"Distress",0,"Technology","Technology - Distress"
"Enthusiasm",0,"Environment","Environment - Enthusiasm"
"Enthusiasm",0,"Health","Health - Enthusiasm"
"Enthusiasm",2,"Other","Other - Enthusiasm"
"Enthusiasm",0,"Technology","Technology - Enthusiasm"
"Excitedness",1,"Environment","Environment - Excitedness"
"Excitedness",0,"Health","Health - Excitedness"
"Excitedness",0,"Other","Other - Excitedness"
"Excitedness",0,"Technology","Technology - Excitedness"
"Fear",9,"Environment","Environment - Fear"
"Fear",9,"Health","Health - Fear"
"Fear",3,"Other","Other - Fear"
"Fear",2,"Technology","Technology - Fear"
"Guilt",5,"Environment","Environment - Guilt"
"Guilt",0,"Health","Health - Guilt"
"Guilt",1,"Other","Other - Guilt"
"Guilt",0,"Technology","Technology - Guilt"
"Happiness",1,"Environment","Environment - Happiness"
"Happiness",1,"Health","Health - Happiness"
"Happiness",0,"Other","Other - Happiness"
"Happiness",0,"Technology","Technology - Happiness"
"Hope",8,"Environment","Environment - Hope"
"Hope",4,"Health","Health - Hope"
"Hope",0,"Other","Other - Hope"
"Hope",1,"Technology","Technology - Hope"
"Mirth",0,"Environment","Environment - Mirth"
"Mirth",0,"Health","Health - Mirth"
"Mirth",4,"Other","Other - Mirth"
"Mirth",0,"Technology","Technology - Mirth"
"Pride",1,"Environment","Environment - Pride"
"Pride",0,"Health","Health - Pride"
"Pride",0,"Other","Other - Pride"
"Pride",0,"Technology","Technology - Pride"
"Relief",0,"Environment","Environment - Relief"
"Relief",1,"Health","Health - Relief"
"Relief",0,"Other","Other - Relief"
"Relief",0,"Technology","Technology - Relief"
"Resentment",0,"Environment","Environment - Resentment"
"Resentment",1,"Health","Health - Resentment"
"Resentment",0,"Other","Other - Resentment"
"Resentment",0,"Technology","Technology - Resentment"
"Sadness",3,"Environment","Environment - Sadness"
"Sadness",3,"Health","Health - Sadness"
"Sadness",0,"Other","Other - Sadness"
"Sadness",0,"Technology","Technology - Sadness"
"Shame",2,"Environment","Environment - Shame"
"Shame",0,"Health","Health - Shame"
"Shame",1,"Other","Other - Shame"
"Shame",0,"Technology","Technology - Shame"
"Surprise",0,"Environment","Environment - Surprise"
"Surprise",1,"Health","Health - Surprise"
"Surprise",0,"Other","Other - Surprise"
"Surprise",0,"Technology","Technology - Surprise"
"Trust",3,"Environment","Environment - Trust"
"Trust",0,"Health","Health - Trust"
"Trust",1,"Other","Other - Trust"
"Trust",0,"Technology","Technology - Trust"
"Uncertainty",0,"Environment","Environment - Uncertainty"
"Uncertainty",0,"Health","Health - Uncertainty"
"Uncertainty",1,"Other","Other - Uncertainty"
"Uncertainty",0,"Technology","Technology - Uncertainty"
"unspecified",1,"Environment","Environment - unspecified"
"unspecified",0,"Health","Health - unspecified"
"unspecified",0,"Other","Other - unspecified"
"unspecified",0,"Technology","Technology - unspecified"
"Unspecified",1,"Environment","Environment - Unspecified"
"Unspecified",0,"Health","Health - Unspecified"
"Unspecified",1,"Other","Other - Unspecified"
"Unspecified",0,"Technology","Technology - Unspecified"
"Worry",4,"Environment","Environment - Worry"
"Worry",2,"Health","Health - Worry"
"Worry",0,"Other","Other - Worry"
"Worry",0,"Technology","Technology - Worry"
