"labels","values","parents","ids"
"affective",9,"Output Family","affective"
"attitudinal",15,"Output Family","attitudinal"
"behavioral",98,"Output Family","behavioral"
"epistemic",88,"Output Family","epistemic"
"Affective response",3,"affective","affective - Affective response"
"Affective response",0,"attitudinal","attitudinal - Affective response"
"Affective response",1,"behavioral","behavioral - Affective response"
"Affective response",0,"epistemic","epistemic - Affective response"
"Attention",0,"affective","affective - Attention"
"Attention",0,"attitudinal","attitudinal - Attention"
"Attention",0,"behavioral","behavioral - Attention"
"Attention",1,"epistemic","epistemic - Attention"
"Attitude change",0,"affective","affective - Attitude change"
"Attitude change",5,"attitudinal","attitudinal - Attitude change"
"Attitude change",2,"behavioral","behavioral - Attitude change"
"Attitude change",2,"epistemic","epistemic - Attitude change"
"Behavioral change",0,"affective","affective - Behavioral change"
"Behavioral change",0,"attitudinal","attitudinal - Behavioral change"
"Behavioral change",1,"behavioral","behavioral - Behavioral change"
"Behavioral change",1,"epistemic","epistemic - Behavioral change"
"Belief change",0,"affective","affective - Belief change"
"Belief change",0,"attitudinal","attitudinal - Belief change"
"Belief change",1,"behavioral","behavioral - Belief change"
"Belief change",0,"epistemic","epistemic - Belief change"
"Efficacy beliefs",0,"affective","affective - Efficacy beliefs"
"Efficacy beliefs",0,"attitudinal","attitudinal - Efficacy beliefs"
"Efficacy beliefs",1,"behavioral","behavioral - Efficacy beliefs"
"Efficacy beliefs",1,"epistemic","epistemic - Efficacy beliefs"
"Engagement",1,"affective","affective - Engagement"
"Engagement",1,"attitudinal","attitudinal - Engagement"
"Engagement",6,"behavioral","behavioral - Engagement"
"Engagement",0,"epistemic","epistemic - Engagement"
"Hopefulness",1,"affective","affective - Hopefulness"
"Hopefulness",0,"attitudinal","attitudinal - Hopefulness"
"Hopefulness",1,"behavioral","behavioral - Hopefulness"
"Hopefulness",1,"epistemic","epistemic - Hopefulness"
"Influence of message",0,"affective","affective - Influence of message"
"Influence of message",0,"attitudinal","attitudinal - Influence of message"
"Influence of message",0,"behavioral","behavioral - Influence of message"
"Influence of message",1,"epistemic","epistemic - Influence of message"
"Information processing",0,"affective","affective - Information processing"
"Information processing",1,"attitudinal","attitudinal - Information processing"
"Information processing",3,"behavioral","behavioral - Information processing"
"Information processing",3,"epistemic","epistemic - Information processing"
"Information seeking",0,"affective","affective - Information seeking"
"Information seeking",0,"attitudinal","attitudinal - Information seeking"
"Information seeking",8,"behavioral","behavioral - Information seeking"
"Information seeking",3,"epistemic","epistemic - Information seeking"
"Intention to act",1,"affective","affective - Intention to act"
"Intention to act",2,"attitudinal","attitudinal - Intention to act"
"Intention to act",22,"behavioral","behavioral - Intention to act"
"Intention to act",10,"epistemic","epistemic - Intention to act"
"Interest in science",0,"affective","affective - Interest in science"
"Interest in science",0,"attitudinal","attitudinal - Interest in science"
"Interest in science",1,"behavioral","behavioral - Interest in science"
"Interest in science",0,"epistemic","epistemic - Interest in science"
"Motivation",0,"affective","affective - Motivation"
"Motivation",0,"attitudinal","attitudinal - Motivation"
"Motivation",2,"behavioral","behavioral - Motivation"
"Motivation",0,"epistemic","epistemic - Motivation"
"Observed behavior",0,"affective","affective - Observed behavior"
"Observed behavior",0,"attitudinal","attitudinal - Observed behavior"
"Observed behavior",2,"behavioral","behavioral - Observed behavior"
"Observed behavior",0,"epistemic","epistemic - Observed behavior"
"Opinion change",0,"affective","affective - Opinion change"
"Opinion change",0,"attitudinal","attitudinal - Opinion change"
"Opinion change",1,"behavioral","behavioral - Opinion change"
"Opinion change",0,"epistemic","epistemic - Opinion change"
"Perceived benefit",0,"affective","affective - Perceived benefit"
"Perceived benefit",0,"attitudinal","attitudinal - Perceived benefit"
"Perceived benefit",1,"behavioral","behavioral - Perceived benefit"
"Perceived benefit",1,"epistemic","epistemic - Perceived benefit"
"Perceived certainty",0,"affective","affective - Perceived certainty"
"Perceived certainty",0,"attitudinal","attitudinal - Perceived certainty"
"Perceived certainty",1,"behavioral","behavioral - Perceived certainty"
"Perceived certainty",2,"epistemic","epistemic - Perceived certainty"
"Perceived competence",0,"affective","affective - Perceived competence"
"Perceived competence",0,"attitudinal","attitudinal - Perceived competence"
"Perceived competence",0,"behavioral","behavioral - Perceived competence"
"Perceived competence",1,"epistemic","epistemic - Perceived competence"
"Perceived credibility",0,"affective","affective - Perceived credibility"
"Perceived credibility",0,"attitudinal","attitudinal - Perceived credibility"
"Perceived credibility",3,"behavioral","behavioral - Perceived credibility"
"Perceived credibility",8,"epistemic","epistemic - Perceived credibility"
"Perceived economic benefit",1,"affective","affective - Perceived economic benefit"
"Perceived economic benefit",0,"attitudinal","attitudinal - Perceived economic benefit"
"Perceived economic benefit",1,"behavioral","behavioral - Perceived economic benefit"
"Perceived economic benefit",1,"epistemic","epistemic - Perceived economic benefit"
"Perceived importance",0,"affective","affective - Perceived importance"
"Perceived importance",0,"attitudinal","attitudinal - Perceived importance"
"Perceived importance",0,"behavioral","behavioral - Perceived importance"
"Perceived importance",1,"epistemic","epistemic - Perceived importance"
"Perceived likability",0,"affective","affective - Perceived likability"
"Perceived likability",3,"attitudinal","attitudinal - Perceived likability"
"Perceived likability",1,"behavioral","behavioral - Perceived likability"
"Perceived likability",1,"epistemic","epistemic - Perceived likability"
"Perceived message quality",0,"affective","affective - Perceived message quality"
"Perceived message quality",2,"attitudinal","attitudinal - Perceived message quality"
"Perceived message quality",1,"behavioral","behavioral - Perceived message quality"
"Perceived message quality",0,"epistemic","epistemic - Perceived message quality"
"Perceived persuasiveness",0,"affective","affective - Perceived persuasiveness"
"Perceived persuasiveness",0,"attitudinal","attitudinal - Perceived persuasiveness"
"Perceived persuasiveness",0,"behavioral","behavioral - Perceived persuasiveness"
"Perceived persuasiveness",2,"epistemic","epistemic - Perceived persuasiveness"
"Perceived psychological distance",0,"affective","affective - Perceived psychological distance"
"Perceived psychological distance",0,"attitudinal","attitudinal - Perceived psychological distance"
"Perceived psychological distance",0,"behavioral","behavioral - Perceived psychological distance"
"Perceived psychological distance",1,"epistemic","epistemic - Perceived psychological distance"
"Perceived quality",0,"affective","affective - Perceived quality"
"Perceived quality",0,"attitudinal","attitudinal - Perceived quality"
"Perceived quality",0,"behavioral","behavioral - Perceived quality"
"Perceived quality",1,"epistemic","epistemic - Perceived quality"
"Perceived risk",0,"affective","affective - Perceived risk"
"Perceived risk",0,"attitudinal","attitudinal - Perceived risk"
"Perceived risk",10,"behavioral","behavioral - Perceived risk"
"Perceived risk",16,"epistemic","epistemic - Perceived risk"
"Perceived severity",0,"affective","affective - Perceived severity"
"Perceived severity",1,"attitudinal","attitudinal - Perceived severity"
"Perceived severity",3,"behavioral","behavioral - Perceived severity"
"Perceived severity",4,"epistemic","epistemic - Perceived severity"
"Perceived threat",0,"affective","affective - Perceived threat"
"Perceived threat",0,"attitudinal","attitudinal - Perceived threat"
"Perceived threat",2,"behavioral","behavioral - Perceived threat"
"Perceived threat",2,"epistemic","epistemic - Perceived threat"
"Perceived trust",0,"affective","affective - Perceived trust"
"Perceived trust",0,"attitudinal","attitudinal - Perceived trust"
"Perceived trust",1,"behavioral","behavioral - Perceived trust"
"Perceived trust",1,"epistemic","epistemic - Perceived trust"
"Perceived understanding",0,"affective","affective - Perceived understanding"
"Perceived understanding",0,"attitudinal","attitudinal - Perceived understanding"
"Perceived understanding",1,"behavioral","behavioral - Perceived understanding"
"Perceived understanding",0,"epistemic","epistemic - Perceived understanding"
"Perception of expert disputes",0,"affective","affective - Perception of expert disputes"
"Perception of expert disputes",0,"attitudinal","attitudinal - Perception of expert disputes"
"Perception of expert disputes",0,"behavioral","behavioral - Perception of expert disputes"
"Perception of expert disputes",1,"epistemic","epistemic - Perception of expert disputes"
"Perception of scientific consesus",0,"affective","affective - Perception of scientific consesus"
"Perception of scientific consesus",0,"attitudinal","attitudinal - Perception of scientific consesus"
"Perception of scientific consesus",0,"behavioral","behavioral - Perception of scientific consesus"
"Perception of scientific consesus",1,"epistemic","epistemic - Perception of scientific consesus"
"Perception of scientists",0,"affective","affective - Perception of scientists"
"Perception of scientists",0,"attitudinal","attitudinal - Perception of scientists"
"Perception of scientists",1,"behavioral","behavioral - Perception of scientists"
"Perception of scientists",0,"epistemic","epistemic - Perception of scientists"
"Persuasion",0,"affective","affective - Persuasion"
"Persuasion",0,"attitudinal","attitudinal - Persuasion"
"Persuasion",1,"behavioral","behavioral - Persuasion"
"Persuasion",1,"epistemic","epistemic - Persuasion"
"Policy support",1,"affective","affective - Policy support"
"Policy support",0,"attitudinal","attitudinal - Policy support"
"Policy support",15,"behavioral","behavioral - Policy support"
"Policy support",5,"epistemic","epistemic - Policy support"
"Qualitative judgment",0,"affective","affective - Qualitative judgment"
"Qualitative judgment",0,"attitudinal","attitudinal - Qualitative judgment"
"Qualitative judgment",0,"behavioral","behavioral - Qualitative judgment"
"Qualitative judgment",1,"epistemic","epistemic - Qualitative judgment"
"Recollection",0,"affective","affective - Recollection"
"Recollection",0,"attitudinal","attitudinal - Recollection"
"Recollection",0,"behavioral","behavioral - Recollection"
"Recollection",3,"epistemic","epistemic - Recollection"
"Resistance to misinformation",0,"affective","affective - Resistance to misinformation"
"Resistance to misinformation",0,"attitudinal","attitudinal - Resistance to misinformation"
"Resistance to misinformation",0,"behavioral","behavioral - Resistance to misinformation"
"Resistance to misinformation",1,"epistemic","epistemic - Resistance to misinformation"
"Support for environmental groups",0,"affective","affective - Support for environmental groups"
"Support for environmental groups",0,"attitudinal","attitudinal - Support for environmental groups"
"Support for environmental groups",1,"behavioral","behavioral - Support for environmental groups"
"Support for environmental groups",0,"epistemic","epistemic - Support for environmental groups"
"Understanding",1,"affective","affective - Understanding"
"Understanding",0,"attitudinal","attitudinal - Understanding"
"Understanding",1,"behavioral","behavioral - Understanding"
"Understanding",9,"epistemic","epistemic - Understanding"
"Willingness to engage",0,"affective","affective - Willingness to engage"
"Willingness to engage",0,"attitudinal","attitudinal - Willingness to engage"
"Willingness to engage",1,"behavioral","behavioral - Willingness to engage"
"Willingness to engage",0,"epistemic","epistemic - Willingness to engage"
"Willingness to sacrifice",0,"affective","affective - Willingness to sacrifice"
"Willingness to sacrifice",0,"attitudinal","attitudinal - Willingness to sacrifice"
"Willingness to sacrifice",1,"behavioral","behavioral - Willingness to sacrifice"
"Willingness to sacrifice",1,"epistemic","epistemic - Willingness to sacrifice"
