"labels","values","parents","ids"
"Image",14,"Stimulus Family","Image"
"Images",3,"Stimulus Family","Images"
"Online text",8,"Stimulus Family","Online text"
"Other",9,"Stimulus Family","Other"
"Sound",4,"Stimulus Family","Sound"
"Text",60,"Stimulus Family","Text"
"Video",17,"Stimulus Family","Video"
"article",0,"Image","Image - article"
"article",0,"Images","Images - article"
"article",0,"Online text","Online text - article"
"article",0,"Other","Other - article"
"article",0,"Sound","Sound - article"
"article",3,"Text","Text - article"
"article",0,"Video","Video - article"
"Article",0,"Image","Image - Article"
"Article",0,"Images","Images - Article"
"Article",0,"Online text","Online text - Article"
"Article",0,"Other","Other - Article"
"Article",0,"Sound","Sound - Article"
"Article",1,"Text","Text - Article"
"Article",0,"Video","Video - Article"
"blog article",0,"Image","Image - blog article"
"blog article",0,"Images","Images - blog article"
"blog article",1,"Online text","Online text - blog article"
"blog article",0,"Other","Other - blog article"
"blog article",0,"Sound","Sound - blog article"
"blog article",0,"Text","Text - blog article"
"blog article",0,"Video","Video - blog article"
"Blog article",0,"Image","Image - Blog article"
"Blog article",0,"Images","Images - Blog article"
"Blog article",1,"Online text","Online text - Blog article"
"Blog article",0,"Other","Other - Blog article"
"Blog article",0,"Sound","Sound - Blog article"
"Blog article",0,"Text","Text - Blog article"
"Blog article",0,"Video","Video - Blog article"
"facebook post",0,"Image","Image - facebook post"
"facebook post",0,"Images","Images - facebook post"
"facebook post",1,"Online text","Online text - facebook post"
"facebook post",0,"Other","Other - facebook post"
"facebook post",0,"Sound","Sound - facebook post"
"facebook post",0,"Text","Text - facebook post"
"facebook post",0,"Video","Video - facebook post"
"Facebook posts",0,"Image","Image - Facebook posts"
"Facebook posts",0,"Images","Images - Facebook posts"
"Facebook posts",1,"Online text","Online text - Facebook posts"
"Facebook posts",0,"Other","Other - Facebook posts"
"Facebook posts",0,"Sound","Sound - Facebook posts"
"Facebook posts",0,"Text","Text - Facebook posts"
"Facebook posts",0,"Video","Video - Facebook posts"
"Fictional interview",0,"Image","Image - Fictional interview"
"Fictional interview",0,"Images","Images - Fictional interview"
"Fictional interview",0,"Online text","Online text - Fictional interview"
"Fictional interview",0,"Other","Other - Fictional interview"
"Fictional interview",1,"Sound","Sound - Fictional interview"
"Fictional interview",1,"Text","Text - Fictional interview"
"Fictional interview",0,"Video","Video - Fictional interview"
"Images",3,"Image","Image - Images"
"Images",1,"Images","Images - Images"
"Images",0,"Online text","Online text - Images"
"Images",0,"Other","Other - Images"
"Images",0,"Sound","Sound - Images"
"Images",0,"Text","Text - Images"
"Images",0,"Video","Video - Images"
"Images of different Text/color/illustrative scales",0,"Image","Image - Images of different Text/color/illustrative scales"
"Images of different Text/color/illustrative scales",1,"Images","Images - Images of different Text/color/illustrative scales"
"Images of different Text/color/illustrative scales",0,"Online text","Online text - Images of different Text/color/illustrative scales"
"Images of different Text/color/illustrative scales",0,"Other","Other - Images of different Text/color/illustrative scales"
"Images of different Text/color/illustrative scales",0,"Sound","Sound - Images of different Text/color/illustrative scales"
"Images of different Text/color/illustrative scales",0,"Text","Text - Images of different Text/color/illustrative scales"
"Images of different Text/color/illustrative scales",0,"Video","Video - Images of different Text/color/illustrative scales"
"In-person  stand up and improv theater",0,"Image","Image - In-person  stand up and improv theater"
"In-person  stand up and improv theater",0,"Images","Images - In-person  stand up and improv theater"
"In-person  stand up and improv theater",0,"Online text","Online text - In-person  stand up and improv theater"
"In-person  stand up and improv theater",1,"Other","Other - In-person  stand up and improv theater"
"In-person  stand up and improv theater",0,"Sound","Sound - In-person  stand up and improv theater"
"In-person  stand up and improv theater",0,"Text","Text - In-person  stand up and improv theater"
"In-person  stand up and improv theater",0,"Video","Video - In-person  stand up and improv theater"
"In-person text survey",0,"Image","Image - In-person text survey"
"In-person text survey",0,"Images","Images - In-person text survey"
"In-person text survey",0,"Online text","Online text - In-person text survey"
"In-person text survey",0,"Other","Other - In-person text survey"
"In-person text survey",0,"Sound","Sound - In-person text survey"
"In-person text survey",1,"Text","Text - In-person text survey"
"In-person text survey",0,"Video","Video - In-person text survey"
"Instagram message + 4 corrective messages",1,"Image","Image - Instagram message + 4 corrective messages"
"Instagram message + 4 corrective messages",0,"Images","Images - Instagram message + 4 corrective messages"
"Instagram message + 4 corrective messages",1,"Online text","Online text - Instagram message + 4 corrective messages"
"Instagram message + 4 corrective messages",0,"Other","Other - Instagram message + 4 corrective messages"
"Instagram message + 4 corrective messages",0,"Sound","Sound - Instagram message + 4 corrective messages"
"Instagram message + 4 corrective messages",0,"Text","Text - Instagram message + 4 corrective messages"
"Instagram message + 4 corrective messages",0,"Video","Video - Instagram message + 4 corrective messages"
"Interview questions",0,"Image","Image - Interview questions"
"Interview questions",0,"Images","Images - Interview questions"
"Interview questions",0,"Online text","Online text - Interview questions"
"Interview questions",0,"Other","Other - Interview questions"
"Interview questions",0,"Sound","Sound - Interview questions"
"Interview questions",1,"Text","Text - Interview questions"
"Interview questions",0,"Video","Video - Interview questions"
"lecture + discussion + lab experiment",0,"Image","Image - lecture + discussion + lab experiment"
"lecture + discussion + lab experiment",0,"Images","Images - lecture + discussion + lab experiment"
"lecture + discussion + lab experiment",0,"Online text","Online text - lecture + discussion + lab experiment"
"lecture + discussion + lab experiment",1,"Other","Other - lecture + discussion + lab experiment"
"lecture + discussion + lab experiment",0,"Sound","Sound - lecture + discussion + lab experiment"
"lecture + discussion + lab experiment",0,"Text","Text - lecture + discussion + lab experiment"
"lecture + discussion + lab experiment",0,"Video","Video - lecture + discussion + lab experiment"
"letter from a doctor",0,"Image","Image - letter from a doctor"
"letter from a doctor",0,"Images","Images - letter from a doctor"
"letter from a doctor",0,"Online text","Online text - letter from a doctor"
"letter from a doctor",0,"Other","Other - letter from a doctor"
"letter from a doctor",0,"Sound","Sound - letter from a doctor"
"letter from a doctor",1,"Text","Text - letter from a doctor"
"letter from a doctor",0,"Video","Video - letter from a doctor"
"message",0,"Image","Image - message"
"message",0,"Images","Images - message"
"message",0,"Online text","Online text - message"
"message",0,"Other","Other - message"
"message",0,"Sound","Sound - message"
"message",1,"Text","Text - message"
"message",0,"Video","Video - message"
"Natural variables",0,"Image","Image - Natural variables"
"Natural variables",0,"Images","Images - Natural variables"
"Natural variables",0,"Online text","Online text - Natural variables"
"Natural variables",6,"Other","Other - Natural variables"
"Natural variables",0,"Sound","Sound - Natural variables"
"Natural variables",2,"Text","Text - Natural variables"
"Natural variables",0,"Video","Video - Natural variables"
"News article",1,"Image","Image - News article"
"News article",0,"Images","Images - News article"
"News article",1,"Online text","Online text - News article"
"News article",0,"Other","Other - News article"
"News article",0,"Sound","Sound - News article"
"News article",21,"Text","Text - News article"
"News article",0,"Video","Video - News article"
"News quote",0,"Image","Image - News quote"
"News quote",0,"Images","Images - News quote"
"News quote",0,"Online text","Online text - News quote"
"News quote",0,"Other","Other - News quote"
"News quote",0,"Sound","Sound - News quote"
"News quote",1,"Text","Text - News quote"
"News quote",0,"Video","Video - News quote"
"news sample",0,"Image","Image - news sample"
"news sample",0,"Images","Images - news sample"
"news sample",0,"Online text","Online text - news sample"
"news sample",0,"Other","Other - news sample"
"news sample",0,"Sound","Sound - news sample"
"news sample",1,"Text","Text - news sample"
"news sample",0,"Video","Video - news sample"
"Newspaper",0,"Image","Image - Newspaper"
"Newspaper",1,"Images","Images - Newspaper"
"Newspaper",0,"Online text","Online text - Newspaper"
"Newspaper",0,"Other","Other - Newspaper"
"Newspaper",0,"Sound","Sound - Newspaper"
"Newspaper",0,"Text","Text - Newspaper"
"Newspaper",0,"Video","Video - Newspaper"
"Open questions",0,"Image","Image - Open questions"
"Open questions",0,"Images","Images - Open questions"
"Open questions",0,"Online text","Online text - Open questions"
"Open questions",0,"Other","Other - Open questions"
"Open questions",0,"Sound","Sound - Open questions"
"Open questions",1,"Text","Text - Open questions"
"Open questions",0,"Video","Video - Open questions"
"Photographs",2,"Image","Image - Photographs"
"Photographs",0,"Images","Images - Photographs"
"Photographs",0,"Online text","Online text - Photographs"
"Photographs",0,"Other","Other - Photographs"
"Photographs",0,"Sound","Sound - Photographs"
"Photographs",0,"Text","Text - Photographs"
"Photographs",0,"Video","Video - Photographs"
"Picture",1,"Image","Image - Picture"
"Picture",0,"Images","Images - Picture"
"Picture",0,"Online text","Online text - Picture"
"Picture",0,"Other","Other - Picture"
"Picture",0,"Sound","Sound - Picture"
"Picture",0,"Text","Text - Picture"
"Picture",0,"Video","Video - Picture"
"pictures",1,"Image","Image - pictures"
"pictures",0,"Images","Images - pictures"
"pictures",0,"Online text","Online text - pictures"
"pictures",0,"Other","Other - pictures"
"pictures",0,"Sound","Sound - pictures"
"pictures",0,"Text","Text - pictures"
"pictures",0,"Video","Video - pictures"
"Pictures",1,"Image","Image - Pictures"
"Pictures",0,"Images","Images - Pictures"
"Pictures",0,"Online text","Online text - Pictures"
"Pictures",0,"Other","Other - Pictures"
"Pictures",0,"Sound","Sound - Pictures"
"Pictures",0,"Text","Text - Pictures"
"Pictures",0,"Video","Video - Pictures"
"Pre-training/post-training presentation",0,"Image","Image - Pre-training/post-training presentation"
"Pre-training/post-training presentation",0,"Images","Images - Pre-training/post-training presentation"
"Pre-training/post-training presentation",0,"Online text","Online text - Pre-training/post-training presentation"
"Pre-training/post-training presentation",1,"Other","Other - Pre-training/post-training presentation"
"Pre-training/post-training presentation",0,"Sound","Sound - Pre-training/post-training presentation"
"Pre-training/post-training presentation",0,"Text","Text - Pre-training/post-training presentation"
"Pre-training/post-training presentation",0,"Video","Video - Pre-training/post-training presentation"
"Priming question",0,"Image","Image - Priming question"
"Priming question",0,"Images","Images - Priming question"
"Priming question",0,"Online text","Online text - Priming question"
"Priming question",0,"Other","Other - Priming question"
"Priming question",0,"Sound","Sound - Priming question"
"Priming question",1,"Text","Text - Priming question"
"Priming question",0,"Video","Video - Priming question"
"Questionnaire",0,"Image","Image - Questionnaire"
"Questionnaire",0,"Images","Images - Questionnaire"
"Questionnaire",0,"Online text","Online text - Questionnaire"
"Questionnaire",0,"Other","Other - Questionnaire"
"Questionnaire",0,"Sound","Sound - Questionnaire"
"Questionnaire",1,"Text","Text - Questionnaire"
"Questionnaire",0,"Video","Video - Questionnaire"
"Radio",0,"Image","Image - Radio"
"Radio",0,"Images","Images - Radio"
"Radio",0,"Online text","Online text - Radio"
"Radio",0,"Other","Other - Radio"
"Radio",1,"Sound","Sound - Radio"
"Radio",0,"Text","Text - Radio"
"Radio",0,"Video","Video - Radio"
"Science questions",0,"Image","Image - Science questions"
"Science questions",0,"Images","Images - Science questions"
"Science questions",0,"Online text","Online text - Science questions"
"Science questions",0,"Other","Other - Science questions"
"Science questions",0,"Sound","Sound - Science questions"
"Science questions",1,"Text","Text - Science questions"
"Science questions",0,"Video","Video - Science questions"
"Scientific claims: Certain/hedged",0,"Image","Image - Scientific claims: Certain/hedged"
"Scientific claims: Certain/hedged",0,"Images","Images - Scientific claims: Certain/hedged"
"Scientific claims: Certain/hedged",0,"Online text","Online text - Scientific claims: Certain/hedged"
"Scientific claims: Certain/hedged",0,"Other","Other - Scientific claims: Certain/hedged"
"Scientific claims: Certain/hedged",0,"Sound","Sound - Scientific claims: Certain/hedged"
"Scientific claims: Certain/hedged",1,"Text","Text - Scientific claims: Certain/hedged"
"Scientific claims: Certain/hedged",0,"Video","Video - Scientific claims: Certain/hedged"
"Tape recording",0,"Image","Image - Tape recording"
"Tape recording",0,"Images","Images - Tape recording"
"Tape recording",0,"Online text","Online text - Tape recording"
"Tape recording",0,"Other","Other - Tape recording"
